変換前,変換後
Petrol Earth Auger,エンジンアースオーガ
Cordless Earth Auger,充電式アースオーガ
Petrol Edging Trimmer,エッジングトリマ
Petrol Edger,エンジンエッジャ
Cordless Edger,充電式エッジャ
Cordless Fan,充電式ファン
Cordless Fan,充電式産業扇
Cordless Helmet Fan,充電式ヘルメットファン
Portable Ventilation Fan,電気送排風機
Cordless Flashlight,フラッシュライト
Cordless LED Worklight,フラッシュライト
LED Flashlight,フラッシュライト
Rechargeable Flashlight,フラッシュライト
Rechargeable Grab Light,フラッシュライト
Corded and Cordless LED Worklight,充電式LEDスタンドライト
Cordless Worklight,充電式LEDスタンドライト
Rechargeable LED Lantern,充電式LEDランタン
Cordless LED Worklight,充電式LEDワークライト
LED Flashlight,充電式LEDワークライト
Cordless Area Worklight,充電式エリアライト
Rechargeable Flashlight,充電式ヘッドライト
Rechargeable Utility Light,充電式ヘッドライト
Cordless Bar Light,充電式ワークライト
Cordless Flashlight,充電式ワークライト
Cordless Worklight,充電式ワークライト
Rechargeable Flashlight,充電式蛍光灯
Rechargeable Fluorescent Light,充電式蛍光灯
Rechargeable Job Site Light,充電式蛍光灯
Cordless Worklight,充電式スタンドライト
Cordless Worklight,充電式タワーライト
Rechargeable Flashlight,充電式フラッシュライト
Search Light,充電式フラッシュライト
Generator,エンジン発電機
Cordless Grass Shear,充電式芝生バリカン
Cordless Hedge Trimmer,充電式芝生バリカン
Cordless Grass Cutter,充電式芝生バリカン
Grass Shear,芝生バリカン
Cordless Grease Gun,充電式グリスガン
Aluminum Groove Cutter,アルミミゾキリ
Groove Cutter,ミゾキリ
Cordless Cleaner,充電式クリーナ
Heat Gun,ヒートガン
Cordless Heat Gun,充電式ヒートガン
Petrol Hedge Trimmer,エンジンヘッジトリマ
Hedge Trimmer,エンジンポールヘッジトリマ
Petrol Pole Hedge Trimmer,エンジンポールヘッジトリマ
Pole Hedge Trimmer,エンジンポールヘッジトリマ
Hedge Trimmer,ミニ生垣バリカン
Cordless Hedge Trimmer,充電式ポールヘッジトリマ
Cordless Pole Hedge Trimmer,充電式ポールヘッジトリマ
Cordless Hedge Trimmer,充電式ミニ生垣バリカン
